"","Title.x","Doi.x","Year","Taxon","Species","Social_mating_system","Mating_in_study","Source_of_population","Exposure_stage","Exposure_category","Exposure_factor","Proximate_mechanisms","Maternal_effects","Maternal_effectcs_control","Latest_offspring_stage","Embryo_traits","Just_born_hatched_traits","Larvae_traits","Juveniles_traits","Adult_traits","Trait_list","Grand_offspring_traits","Grand_offspring_stage","Sex_specific_effects","Maternal_exposure","Offspring_exposure","Comments","link","id","label","Title.y","Doi.y","x","y","cluster","weight.Links.","weight.Total.link.strength.","weight.Citations.","weight.Norm..citations.","score.Pub..year.","score.Citations.","score.Norm..citations."
"117","pregnancy outcomes after paternal radiofrequency field exposure aboard fast patrol boats","10.1097.jom.0b013e3182445003",2012,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Abiotic habitat","occupational exposure to radiofrequency field","does not assess","no",NA,"just born / hatched","survival, other","morphology, survival",NA,NA,NA,"sex ratio, congenital malformations, size at birth, preganncy outcome and perinatal death","no",NA,"no","no","no",NA,"10.1097.jom.0b013e3182445003",299,"baste v. (2012)","pregnancy outcomes after paternal radiofrequency field exposure aboard fast patrol boats","10.1097.jom.0b013e3182445003",1.0453,-0.2887,2,8,8,4,0.1053,2012,4,0.1053
"118","the effect of paternal heat stress on protein profiles of pre-implantation embryos in the mouse","10.1111.j.1365.2605.2005.00530.x",2005,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Abiotic habitat","heat exposrue 36 C for 24 hours","does not assess","yes – maternal effects","other","embryos","gene expression",NA,NA,NA,NA,"protein synthesis in pre-inplnatation emryos","no",NA,"no","no","no",NA,"10.1111.j.1365.2605.2005.00530.x",367,"zhu b. (2005)","the effect of paternal heat stress on protein profiles of pre-implantation embryos in the mouse","10.1111.j.1365.2605.2005.00530.x",1.0568,1.2469,1,1,11,2,1,2005,2,1
"119","transgenerational sex determination: the embryonic environment experienced by a male affects offspring sex ratio","10.1038.srep02709",2013,"other vertebrate","Amphibolurus muricatus","polygamy – promiscuity","unclear","wild brought into captivity","in utero","Abiotic habitat","ambient temperature; aromatase inhibitor to determine male sex","does not assess","no",NA,"adults",NA,NA,NA,NA,"morphology, behavior, other","body mass, size, locomotor performance, sex of the offspring","no",NA,"no","no","no",NA,"10.1038.srep02709",263,"warner d.a. (2013)","transgenerational sex determination: the embryonic environment experienced by a male affects offspring sex ratio","10.1038.srep02709",-0.3996,0.3119,3,40,8,19,0.3889,2013,19,0.3889
"120","paternal-effects in a terrestrial ectotherm are temperature dependent but no evidence for adaptive effects","10.1111.1365.2435.13022",2018,"arthropod","Gryllus bimaculatus","polygamy – promiscuity","unclear","captive","as juvenile, as adult","Abiotic habitat","ambient temperature; life-history stage at which exposure occured","does not assess","no",NA,"adults","survival",NA,NA,"survival","morphology, fecundity","offspring hatching success and survival to 7 weeks of age, sperm quality in male offspring, body weight at different temperatures","no",NA,"one sex measured only","no","yes",NA,"10.1111.1365.2435.13022",66,"gasparini c. (2018)","paternal-effects in a terrestrial ectotherm are temperature dependent but no evidence for adaptive effects","10.1111.1365.2435.13022",-1.0888,0.2443,3,62,26,4,1.0264,2018,4,1.0264
"121","transcriptomic changes in the frontal cortex associated with paternal age","10.1186.2040.2392.5.24",2014,"non-human mammal","Mus musculus","polygamy – promiscuity","unclear","captive","as adult","Age","2 vs 10 month old fathers","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression","expression of genes in the brain corex","no",NA,"no","no","NA","additional details (offspring age, breeding) can be found in SI of a cited article nr 4","10.1186.2040.2392.5.24",234,"smith r.g. (2014)","transcriptomic changes in the frontal cortex associated with paternal age","10.1186.2040.2392.5.24",0.0683,-0.471,1,16,9,6,0.1601,2014,6,0.1601
"122","advancing paternal age is associated with deficits in social and exploratory behaviors in the offspring: a mouse model","10.1371.journal.pone.0008456",2009,"non-human mammal","Mus musculus","polygamy – promiscuity","unclear","captive","as adult","Age","2 and 10 month old males","does not assess","no",NA,"adults",NA,NA,NA,NA,"behavior","social, activity and exploration and open-test behaviour","no",NA,"one sex measured only","no","NA",NA,"10.1371.journal.pone.0008456",337,"smith r.g. (2009)","advancing paternal age is associated with deficits in social and exploratory behaviors in the offspring: a mouse model","10.1371.journal.pone.0008456",-0.0154,0.387,1,37,8,48,0.7122,2009,48,0.7122
"123","effects of advanced paternal age on trajectories of social behavior in offspring","10.1111.gbb.12227",2015,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Age","8, 40 and 48 weeks old males","does not assess","no",NA,"adults",NA,NA,NA,"physiology, behavior, other","behavior","size and sex at day 6, subsequent days and weaning, paly behavior in jouveniles, social tests after weaning, beahvior in adulthood","no",NA,"no","no","NA",NA,"10.1111.gbb.12227",213,"janecka m. (2015)","effects of advanced paternal age on trajectories of social behavior in offspring","10.1111.gbb.12227",0.4117,-0.1364,1,28,15,6,0.2149,2015,6,0.2149
"124","long-term effects of delayed fatherhood in mice on postnatal development and behavioral traits of offspring","10.1095.biolreprod.108.072066",2009,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Age","12, 70, 100, or 120 weeks old males","does not assess","no",NA,"juveniles",NA,"other",NA,"survival, other",NA,"sex ratio at birth, survivla to subsequent developmentals stages, body weight at birth, at weaning, righting reflex, spontanous motor activity, passive-avoidance test","no",NA,"yes","no","NA",NA,"10.1095.biolreprod.108.072066",343,"garcía-palomares s. (2009)","long-term effects of delayed fatherhood in mice on postnatal development and behavioral traits of offspring","10.1095.biolreprod.108.072066",0.1851,0.3655,1,28,21,32,0.4748,2009,32,0.4748
"125","paternal age affects fertility and progeny outcome in the brown norway rat","10.1016.s0015.0282(98)00259.3",1998,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Age","3, 12, 18, and 24 months old males","does not assess","no",NA,"adults","survival","morphology",NA,"morphology","morphology","preimplanation, postimplantartion survival (=pregnancy otcome), external malformations and weigh at several developmental stages","no",NA,"no","no","NA",NA,"10.1016.s0015.0282(98)00259.3",400,"serre v. (1998)","paternal age affects fertility and progeny outcome in the brown norway rat","10.1016.s0015.0282(98)00259.3",0.5857,0.5018,1,25,8,44,1.8723,1998,44,1.8723
"126","delayed fatherhood in mice decreases reproductive fitness and longevity of offspring","10.1095.biolreprod.108.073395",2009,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Age","12, 70, 100, and 120 week old males","does not assess","no",NA,"adults",NA,NA,NA,NA,"survival, fecundity","adult survival, fertility of both sexes (age at parturition, frequency of litters, numer of pups), incidence of tumors and diseases, sex ratio, prewenaing mortality, body weight of F2","phenotype & fitness (survival or fecundity)","juveniles","yes","no","NA",NA,"10.1095.biolreprod.108.073395",344,"garcía-palomares s. (2009a)","delayed fatherhood in mice decreases reproductive fitness and longevity of offspring","10.1095.biolreprod.108.073395",-0.3413,0.627,1,16,10,24,0.3561,2009,24,0.3561
"127","epigenetic alterations in longevity regulators, reduced life span, and exacerbated aging-related pathology in old father offspring mice","10.1073.pnas.1707337115",2018,"non-human mammal","Mus musculus","polygamy – promiscuity","unclear","captive","as adult","Age","4 month vs over 21 mont old males","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology, survival","offspring life span, aging traits (including histopatology), epigenetic traits is sperm, mutation rate, genom-wide association analsyes, metabolic, immunological, and behavioral analyses","no",NA,"no","no","NA",NA,"10.1073.pnas.1707337115",69,"xie k. (2018)","epigenetic alterations in longevity regulators, reduced life span, and exacerbated aging-related pathology in old father offspring mice","10.1073.pnas.1707337115",-0.4903,-0.1438,1,147,28,11,2.8226,2018,11,2.8226
"128","moderate maternal and paternal alcohol consumption and the risk of spontaneous abortion","10.1097.00001648.199207000.00012",1992,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Alcohol","alcohol consumption 3 month prior to conception","does not assess","no",NA,"embryos","survival",NA,NA,NA,NA,"spontaneous abortion","no",NA,"no","no","no","maternal alcohol consumption during pregnancy, not before is reported","10.1097.00001648.199207000.00012",430,"windham g.c. (1992)","moderate maternal and paternal alcohol consumption and the risk of spontaneous abortion","10.1097.00001648.199207000.00012",1.0651,-0.0266,1,2,2,56,1.4359,1992,56,1.4359
"129","neurobehavioral effects in rat pups whose sires were exposed to alcohol","10.1016.j.devbrainres.2003.12.010",2004,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Alcohol","mating during or afert the end of ethanol exposure","does not assess","no",NA,"juveniles",NA,"morphology, other",NA,"behavior",NA,"birth weigh, sex ratio at birth, reflex development of the pups, maze performace, gait, brain morphlogy (cortical layer)","no",NA,"no","no","no","pre-post design","10.1016.j.devbrainres.2003.12.010",374,"jamerson p.a. (2004)","neurobehavioral effects in rat pups whose sires were exposed to alcohol","10.1016.j.devbrainres.2003.12.010",0.6728,0.4513,1,49,24,25,0.8303,2004,25,0.8303
"130","behavior and the catecholamine system of the brain in two generations of the descendants of male rats with chronic alcohol intoxication","10.1134.s1819712413010091",2013,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","unclear","captive","as adult","Alcohol","10% ethanol as only source of liquid for 90 days prior to mating or with a 30 day-break","does not assess","no",NA,"adults",NA,NA,NA,NA,"physiology, behavior","brain catecholamine system and behawior (open field and motor activity) in relations to alcohol exposure of the offspring, beahvior in grandoffspring","phenotype","adults","no","no","yes","suboptimal sudy desing to invesitgate grandoffspring generation","10.1134.s1819712413010091",274,"veretinskaya a.g. (2013)","behavior and the catecholamine system of the brain in two generations of the descendants of male rats with chronic alcohol intoxication","10.1134.s1819712413010091",0.9051,1.2278,1,2,1,2,0.0409,2013,2,0.0409
"131","preconception paternal alcohol exposure exerts sex‑specific effects on offspring growth and long‑term metabolic programming","10.1186.s13072.019.0254.0",2019,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Alcohol","70 days of consistent drinking habit 4-hours at night","does not assess","no",NA,"adults",NA,NA,NA,"physiology, morphology","gene expression, physiology","body weight, blood glucose levels and tolerance, insulin tolerance, organ weight, markers of hepatic fibrosis, imprinting, liver transcriptomes","no",NA,"yes","no","no",NA,"10.1186.s13072.019.0254.0",14,"chang r.c. (2019)","preconception paternal alcohol exposure exerts sex-specific effects on offspring growth and long-term metabolic programming","10.1186.s13072.019.0254.0",0.2206,-0.128,1,206,78,2,1.2903,2019,2,1.2903
"132","a surprising effect of paternal alcohol treatment on rat fetuses","10.1016.0741.8329(94)00058.l",1995,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Alcohol","intubated with either 5, 2.5, or 0 g/kg alcohol for 3 or 9 weeks","does not assess","no",NA,"just born / hatched","morphology","morphology, other",NA,NA,NA,"foetal and newborn body weight, sex ratio","no",NA,"yes","no","no",NA,"10.1016.0741.8329(94)00058.l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","acute paternal alcohol exposure impairs fertility and fetal outcome","10.1016.0024.3205(94)90109.0",1994,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Alcohol","Single alcohol injestion 5g/kg 24h prior to breeding","does not assess","no",NA,"juveniles",NA,NA,NA,"survival",NA,"offspring mortality","no",NA,"no","no","no",NA,"10.1016.0024.3205(94)90109.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","acute paternal alcohol use affects offspring development and adult behavior","10.1016.j.physbeh.2007.02.004",2007,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Alcohol","5 g/kg intraperitonal injection of 20% ethanol 12h prior to paring with female","does not assess","no",NA,"juveniles",NA,"morphology, behavior",NA,"morphology, behavior",NA,"birth weights of pups and untitl 21 day old, phisiological maturation, reflexes, locomotionusing standard tests in the first postnatal day, risk assessment and agressive behavior at day 21","no",NA,"no","no","no",NA,"10.1016.j.physbeh.2007.02.004",354,"meek l.r. (2007)","acute paternal alcohol use affects offspring development and adult behavior","10.1016.j.physbeh.2007.02.004",0.6006,0.4088,1,69,28,24,0.9677,2007,24,0.9677
